X,Y,Z
-7.243222344953057,-5.045067985371953,4.23
-19.332301207908067,11.506852173831517,4.95
-19.18267506010371,11.373720073978621,4.95
-19.033048912299353,11.24058797483384,4.95
-18.883422764494995,11.107455874272828,4.95
-18.733796625065505,10.9743237637982,4.95
-18.58417047621429,10.841191663945304,4.95
-18.43454432945679,10.708059563384293,4.95
-18.284918180605573,10.574927464239511,4.95
-18.135292033848078,10.441795364386616,4.95
-17.985665884996862,10.308663253911988,4.95
-17.83603973823936,10.175531153350976,4.95
-17.686413589388145,10.042399054206195,4.95
-17.536787442630647,9.9092669543533,4.95
-17.38716129377943,9.776134855208518,4.95
-17.2375351553968,9.643002754647506,4.95
-17.087909006545583,9.509870644880994,4.95
-16.93828285978809,9.376738544319982,4.95
-16.78865671093687,9.243606445175201,4.95
-16.63903056417937,9.11047434461419,4.95
-16.489404415328156,8.977342245469409,4.95
-16.339778268570658,8.844210145616513,4.95
-16.19015211971944,8.711078035141885,4.95
-16.040525972961944,8.577945934580873,4.95
-15.890899824110727,8.444813835436092,4.95
-15.741273684681238,8.311681735583196,4.95
-15.59164753687688,8.1785496357303,4.95
-15.442021389072522,8.045417524547556,4.95
-15.292395241268165,7.912285425402776,4.95
-15.14276909346381,7.7791533255498795,4.95
-14.99314294565945,7.646021226405098,4.95
-14.843516797855093,7.512889125844087,4.95
-14.693890650050738,7.379757025991191,4.95
-14.544264502246378,7.246624915516563,4.95
-14.394638354442023,7.113492814955551,4.95
-14.245012215012533,6.980360715810771,4.95
-14.095386066161316,6.847228615957874,4.95
-13.94575991940382,6.714096516813093,4.95
-13.796133770552604,6.5809644162520815,4.95
-13.646507623795104,6.447832306485569,4.95
-13.496881474943889,6.314700205924558,4.95
-13.347255328186389,6.1815681067797765,4.95
-13.197629179335175,6.048436006926881,4.95
-13.048003032577675,5.9153039077821,4.95
-12.89837688372646,5.782171795891241,4.95
-12.74875074534383,5.64903969674646,4.95
-12.599124596492613,5.515907596185449,4.95
-12.449498449735115,5.382775497040668,4.95
-12.299872300883898,5.249643397187771,4.95
-12.1502461541264,5.116511297334876,4.95
-12.000620005275186,4.983379186152132,4.95
-11.850993858517686,4.850247087007351,4.95
-11.701367709666469,4.717114987154455,4.95
-11.55174156290897,4.583982886593443,4.95
-11.402115414057755,4.450850787448663,4.95
-11.252489267300255,4.317718687595766,4.95
-11.102863126823909,4.184586577121138,4.95
-10.953236979019552,4.051454476560127,4.95
-10.803610831215193,3.918322377415346,4.95
-10.653984683410838,3.7851902775624495,4.95
-10.50435853560648,3.652058178417669,4.95
-10.354732387802123,3.5189260778566576,4.925
-10.205106239997766,3.385793967382029,4.925
-10.055480092193408,3.252661867529133,4.915
-9.905853944389051,3.1195297683843526,4.915
-9.756227796584694,2.986397668531456,4.915
-9.606601657155204,2.8532655679704444,4.915
-9.456975509350848,2.7201334574958165,4.905
-9.30734936154649,2.587001358351036,4.905
-9.157723213742132,2.453869257790024,4.905
-9.008097065937775,2.3207371579371276,4.895
-8.858470918133419,2.187605058792347,4.895
-8.708844770329062,2.054472958939451,4.895
-8.559218622524703,1.9213408477567073,4.885
-8.409592473673488,1.7882087471956958,4.885
-8.25996632691599,1.655076648050915,4.885
-8.110340186439641,1.521944548198019,4.875
-7.960714039682142,1.388812449053238,4.875
-7.811087890830928,1.2556803378704946,4.875
-7.661461744073429,1.122548238725714,4.865
-7.511835596269072,0.9894161381647022,4.865
-7.362209448464714,0.8562840390199215,4.865
-7.212583300660357,0.7231519391670252,4.855
-7.062957152856,0.5900198400222445,4.855
-6.913331005051642,0.45688772813138556,4.855
-6.763704857247284,0.3237556289866048,4.85
-6.614078717817796,0.1906235291337086,4.85
-6.464452570013439,0.05749142998892787,4.85
-6.314826422209082,-0.07564067057208379,4.835
-6.165200274404724,-0.20877277042498,4.835
-6.015574126600367,-0.341904880899608,4.835
-5.865947977749151,-0.47503698004438877,4.825
-5.716321830991652,-0.6081690806054004,4.825
-5.566695682140436,-0.7413011804582966,4.825
-5.417069535382938,-0.8744332796030774,4.815
-5.267443386531722,-1.0075653794559736,4.815
-5.117817248149091,-1.140697490638717,4.815
-4.968191099297876,-1.2738295911997288,4.815
-4.818564952540377,-1.4069616903445095,4.815
-4.668938803689161,-1.5400937901974057,4.815
-4.519312656931662,-1.6732258893421865,4.815
-4.369686508080446,-1.8063580005249298,4.815
-4.220060361322949,-1.9394900996697106,4.815
-4.070434212471732,-2.072622200230722,4.815
-3.9208080657142332,-2.205754299375503,4.815
-3.771181916863018,-2.3388863992283992,4.815
-3.6215557784803867,-2.4720184990812957,4.805
-3.4719296296291713,-2.605150610264039,4.805
-3.322303481824814,-2.7382827094088196,4.795
-3.1726773340204564,-2.871414809261716,4.785
-3.0230511862160996,-3.0045469084064966,4.785
-2.8734250384117423,-3.1376790089675084,4.775
-2.723798890607385,-3.2708111088204044,4.775
-2.574172742803028,-3.4039432192950327,4.765
-2.42454659499867,-3.5370753184398134,4.755
-2.274920447194313,-3.6702074190008247,4.755
-2.1252943077648245,-3.803339518853721,4.75
-1.9756681599604669,-3.9364716179985018,4.735
-1.8260420121561096,-4.06960372988936,4.735
-1.6764158643517524,-4.2027358290341414,4.725
-1.5267897165473954,-4.335867928887038,4.715
-1.377163568743038,-4.469000028031818,4.705
-1.2275374209386807,-4.60213212859283,4.705
-1.0779112731343232,-4.735264227737611,4.705
-0.9282851253299661,-4.868396338920355,4.695
-0.7786589848536186,-5.001528438065135,4.685
-0.6290328380961199,-5.134660538626147,4.685
-0.47940668924490404,-5.267792637770928,4.675
-0.3297805424874053,-5.400924737623824,4.665
-0.18015439363618949,-5.5340568480984516,4.665
-0.030528246878690754,-5.667188948659463,4.655
0.11909790197252505,-5.800321047096129,4.65
0.2687240487300238,-5.93345314765714,4.65
0.4183501975812396,-6.066585247510036,4.635
0.5679763443387383,-6.199717347362933,4.625
0.7176024848150858,-6.332849457837561,4.625
0.8672286315725846,-6.465981557690457,4.615
1.0168547804238004,-6.599113657543353,4.615
1.166480927181299,-6.7322457573962495,4.605
1.3161070760325149,-6.865377857249146,4.605
1.4657332227900137,-6.998509956393926,4.595
1.6153593716412296,-7.131642068284785,4.595
1.7649855183987284,-7.264774167429566,4.585
1.9146116672499438,-7.397906267282462,4.585
2.0642378140074427,-7.531038366427243,4.575
2.2138639544837906,-7.664170466988255,4.575
2.3634901022881474,-7.797302566841151,4.565
2.5131162500925046,-7.930434677315779,4.565
2.662742397896862,-8.06356677646056,4.555
2.8123685457012195,-8.196698877021571,4.55
2.9619946935055768,-8.329830976874467,4.535
3.1116208413099335,-8.462963076019248,4.535
3.2612469891142912,-8.596095186493876,4.525
3.4108731369186485,-8.729227286346772,4.525
3.5604992847230057,-8.862359386907784,4.515
3.7101254251993536,-8.995491486052565,4.515
3.8597515719568514,-9.12862358590546,4.505
4.009377720808068,-9.261755685050241,4.505
4.159003867565566,-9.3948877969411,4.495
4.308630016416782,-9.528019896085882,4.495
4.458256163174282,-9.661151996646893,4.485
4.607882312025497,-9.794284095791674,4.485
4.757508458782995,-9.92741619564457,4.475
4.9071346076342115,-10.060548294789351,4.475
5.05676075439171,-10.19368040668021,4.465
5.2063868938211995,-10.326812505824991,4.465
5.356013041625556,-10.459944605677887,4.455
5.505639189429913,-10.593076704822668,4.455
5.655265337234271,-10.72620880538368,4.45
5.804891485038628,-10.859340915858308,4.45
5.954517632842985,-10.992473015711203,4.435
6.104143780647343,-11.125605114855984,4.435
6.2537699284517,-11.258737215416996,4.435
6.403396076256057,-11.391869315269892,4.425
6.553022224060414,-11.525001414414673,4.425
6.702648363489903,-11.658133524889301,4.415
6.852274512341119,-11.791265625450313,4.415
7.0019006590986175,-11.924397725303209,4.415
7.151526807949834,-12.05752982444799,4.405
7.301152954707333,-12.190661924300885,4.405
7.450779103558548,-12.323794024153782,4.395
7.600405250316047,-12.456926135336525,4.395
7.750031399167264,-12.590058234481306,4.385
7.899657545924762,-12.723190335042318,4.385
8.049283694775978,-12.8563224341871,4.375
8.198909833158607,-12.989454534039995,4.375
8.348535982009823,-13.122586645222738,4.375
8.498162128767323,-13.255718745075635,4.365
8.647788277618538,-13.388850844220414,4.365
8.797414424376036,-13.521982944073311,4.355
8.947040573227254,-13.655115044634323,4.355
9.096666719984752,-13.788247143779104,4.355
9.246292868835967,-13.921379254253731,4.355
9.395919015593465,-14.054511354106628,4.355
9.54554516444468,-14.18764345325141,4.35
9.69517130387417,-14.320775553812421,4.35
9.844797451678527,-14.453907653665317,4.35
9.994423599482886,-14.587039752810098,4.35
10.144049747287243,-14.720171863284726,4.335
10.2936758950916,-14.853303963845736,4.335
10.443302042895958,-14.986436063698633,4.335
